"","Indicator","VAR","obs","years","database"
"1","Air pollution, level of PM2.5","AIR_POL",395,"2014","Wellbeing"
"2","Disposable income per capita","INCOME_DISP",395,"2014","Wellbeing"
"3","Employment rate","EMP_RA",395,"2014","Wellbeing"
"4","Gini (at disposable income, after taxes and transfers)","GINI",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"5","Gini before taxes and transfers","GINIB",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"6","Homicide rate","HOMIC_RA",395,"2014","Wellbeing"
"7","Life expectancy at birth","LIFE_EXP",395,"2014","Wellbeing"
"8","Number of rooms per person","ROOMS_PC",393,"2014","Wellbeing"
"9","Perceived social network support","SUBJ_SOC_SUPP",391,"2014","Wellbeing"
"10","Perception of corrution","SUBJ_PERC_CORR",391,"2014","Wellbeing"
"11","Poverty rate after taxes and transfers, Poverty line 50%","PVT5A",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"12","Poverty rate after taxes and transfers, Poverty line 60%","PVT6A",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"13","Poverty rate before taxes and transfers, Poverty line 50%","PVT5B",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"14","Poverty rate before taxes and transfers, Poverty line 60%","PVT6B",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"15","S80/S20 disposable income quintile ratio","S80S20A",333,"2013, 2010, 2014, 2009, 2011","Wellbeing"
"16","Self-evaluation of life satisfaction","SUBJ_LIFE_SAT",391,"2014","Wellbeing"
"17","Share of households with internet broadband access","BB_ACC",395,"2014","Wellbeing"
"18","Share of labour force with at least secondary education","EDU38_SH",392,"2014","Wellbeing"
"19","Standardised mortality rate","STD_MORT",395,"2014","Wellbeing"
"20","Unemployment rate","UNEM_RA",395,"2014","Wellbeing"
"21","Voter turnout in general election","VOTERS_SH",395,"2014","Wellbeing"
"22","Age-Adjusted Mortality Rate (deaths for 1000 population)_Females","STD_MORT_F",387,"2013, 2012, 2014, 2011","Demographic"
"23","Age-Adjusted Mortality Rate (deaths for 1000 population)_Males","STD_MORT_M",387,"2013, 2012, 2014","Demographic"
"24","Age-Adjusted Mortality Rate (deaths for 1000 population)_Total","STD_MORT_T",388,"2013, 2012, 2014","Demographic"
"25","Child-to-Woman Ratio (% 0-4 over females 15-49)_Total","KID_WOM_RA_T",388,"2014, 2015","Demographic"
"26","Crude Death Rate (deaths for 100 000 population)_Females","DEATH_RA_F",388,"2013, 2012, 2014","Demographic"
"27","Crude Death Rate (deaths for 100 000 population)_Males","DEATH_RA_M",388,"2013, 2012, 2014","Demographic"
"28","Crude Death Rate (deaths for 100 000 population)_Total","DEATH_RA_T",388,"2013, 2012, 2014","Demographic"
"29","Crude Youth Death Rate (0-14 deaths for 100 000 population of same age group)_Females","YOU_DEATH_RA_F",359,"2013, 2012, 2011, 2007, 2014, 2010, 2008","Demographic"
"30","Crude Youth Death Rate (0-14 deaths for 100 000 population of same age group)_Males","YOU_DEATH_RA_M",363,"2013, 2012, 2011, 2009, 2007, 2014, 2010","Demographic"
"31","Crude Youth Death Rate (0-14 deaths for 100 000 population of same age group)_Total","YOU_DEATH_RA_T",377,"2013, 2012, 2011, 2014, 2009, 2008","Demographic"
"32","Deaths, 0-4_Females","D_Y0_4_F",387,"2013, 2012, 2014, 2011","Demographic"
"33","Deaths, 0-4_Males","D_Y0_4_M",387,"2013, 2012, 2014","Demographic"
"34","Deaths, 0-4_Total","D_Y0_4_T",388,"2013, 2012, 2014","Demographic"
"35","Deaths, 10-14_Females","D_Y10_14_F",363,"2013, 2012, 2011, 2014, 2009","Demographic"
"36","Deaths, 10-14_Males","D_Y10_14_M",370,"2013, 2012, 2009, 2007, 2014, 2010, 2006","Demographic"
"37","Deaths, 10-14_Total","D_Y10_14_T",382,"2013, 2012, 2011, 2014, 2006, 2009, 2010","Demographic"
"38","Deaths, 15-19_Females","D_Y15_19_F",384,"2013, 2012, 2011, 2014, 2009, 2008","Demographic"
"39","Deaths, 15-19_Males","D_Y15_19_M",384,"2013, 2012, 2011, 2014, 2009, 2008","Demographic"
"40","Deaths, 15-19_Total","D_Y15_19_T",388,"2013, 2012, 2014, 2010, 2011","Demographic"
"41","Deaths, 20-24_Females","D_Y20_24_F",383,"2013, 2012, 2014, 2011","Demographic"
"42","Deaths, 20-24_Males","D_Y20_24_M",382,"2013, 2012, 2014, 2011","Demographic"
"43","Deaths, 20-24_Total","D_Y20_24_T",388,"2013, 2012, 2014, 2011","Demographic"
"44","Deaths, 25-29_Females","D_Y25_29_F",382,"2013, 2012, 2011, 2014","Demographic"
"45","Deaths, 25-29_Males","D_Y25_29_M",382,"2013, 2012, 2011, 2014","Demographic"
"46","Deaths, 25-29_Total","D_Y25_29_T",388,"2013, 2012, 2014","Demographic"
"47","Deaths, 30-34_Females","D_Y30_34_F",386,"2013, 2012, 2014, 2011","Demographic"
"48","Deaths, 30-34_Males","D_Y30_34_M",386,"2013, 2012, 2014, 2011","Demographic"
"49","Deaths, 30-34_Total","D_Y30_34_T",388,"2013, 2012, 2014, 2011","Demographic"
"50","Deaths, 35-39_Females","D_Y35_39_F",386,"2013, 2012, 2014, 2011, 2006","Demographic"
"51","Deaths, 35-39_Males","D_Y35_39_M",386,"2013, 2012, 2014, 2011","Demographic"
"52","Deaths, 35-39_Total","D_Y35_39_T",388,"2013, 2012, 2014, 2011","Demographic"
"53","Deaths, 40-44_Females","D_Y40_44_F",388,"2013, 2012, 2014, 2009, 2006, 2011","Demographic"
"54","Deaths, 40-44_Males","D_Y40_44_M",388,"2013, 2012, 2014, 2009, 2006, 2011","Demographic"
"55","Deaths, 40-44_Total","D_Y40_44_T",388,"2013, 2012, 2014","Demographic"
"56","Deaths, 45-49_Females","D_Y45_49_F",388,"2013, 2012, 2014, 2010","Demographic"
"57","Deaths, 45-49_Males","D_Y45_49_M",388,"2013, 2012, 2014, 2010","Demographic"
"58","Deaths, 45-49_Total","D_Y45_49_T",388,"2013, 2012, 2014","Demographic"
"59","Deaths, 5-9_Females","D_Y5_9_F",363,"2013, 2012, 2011, 2007, 2010, 2014, 2008","Demographic"
"60","Deaths, 5-9_Males","D_Y5_9_M",367,"2013, 2012, 2011, 2009, 2014, 2007","Demographic"
"61","Deaths, 5-9_Total","D_Y5_9_T",382,"2013, 2012, 2011, 2014, 2009, 2008, 2007","Demographic"
"62","Deaths, 50-54_Females","D_Y50_54_F",388,"2013, 2012, 2014","Demographic"
"63","Deaths, 50-54_Males","D_Y50_54_M",388,"2013, 2012, 2014","Demographic"
"64","Deaths, 50-54_Total","D_Y50_54_T",388,"2013, 2012, 2014","Demographic"
"65","Deaths, 55-59_Females","D_Y55_59_F",388,"2013, 2012, 2014","Demographic"
"66","Deaths, 55-59_Males","D_Y55_59_M",388,"2013, 2012, 2014","Demographic"
"67","Deaths, 55-59_Total","D_Y55_59_T",388,"2013, 2012, 2014","Demographic"
"68","Deaths, 60-64_Females","D_Y60_64_F",388,"2013, 2012, 2014","Demographic"
"69","Deaths, 60-64_Males","D_Y60_64_M",388,"2013, 2012, 2014","Demographic"
"70","Deaths, 60-64_Total","D_Y60_64_T",388,"2013, 2012, 2014","Demographic"
"71","Deaths, 65-69_Females","D_Y65_69_F",388,"2013, 2012, 2014","Demographic"
"72","Deaths, 65-69_Males","D_Y65_69_M",388,"2013, 2012, 2014","Demographic"
"73","Deaths, 65-69_Total","D_Y65_69_T",388,"2013, 2012, 2014","Demographic"
"74","Deaths, 70-74_Females","D_Y70_74_F",388,"2013, 2012, 2014","Demographic"
"75","Deaths, 70-74_Males","D_Y70_74_M",388,"2013, 2012, 2014","Demographic"
"76","Deaths, 70-74_Total","D_Y70_74_T",388,"2013, 2012, 2014","Demographic"
"77","Deaths, 75-79_Females","D_Y75_79_F",388,"2013, 2012, 2014","Demographic"
"78","Deaths, 75-79_Males","D_Y75_79_M",388,"2013, 2012, 2014","Demographic"
"79","Deaths, 75-79_Total","D_Y75_79_T",388,"2013, 2012, 2014","Demographic"
"80","Deaths, 80+_Females","D_Y80_MAX_F",388,"2013, 2012, 2014","Demographic"
"81","Deaths, 80+_Males","D_Y80_MAX_M",388,"2013, 2012, 2014","Demographic"
"82","Deaths, 80+_Total","D_Y80_MAX_T",388,"2013, 2012, 2014","Demographic"
"83","Deaths, All ages_Females","D_T_F",388,"2013, 2012, 2014","Demographic"
"84","Deaths, All ages_Males","D_T_M",388,"2013, 2012, 2014","Demographic"
"85","Deaths, All ages_Total","D_T_T",388,"2013, 2012, 2014","Demographic"
"86","Deaths, Old Group (65+)_Females","D_Y65_MAX_F",388,"2013, 2012, 2014","Demographic"
"87","Deaths, Old Group (65+)_Males","D_Y65_MAX_M",388,"2013, 2012, 2014","Demographic"
"88","Deaths, Old Group (65+)_Total","D_Y65_MAX_T",388,"2013, 2012, 2014","Demographic"
"89","Deaths, Working Age Group (15-64)_Females","D_Y15_64_F",375,"2013, 2012, 2011, 2014, 2009","Demographic"
"90","Deaths, Working Age Group (15-64)_Males","D_Y15_64_M",377,"2013, 2012, 2011, 2014","Demographic"
"91","Deaths, Working Age Group (15-64)_Total","D_Y15_64_T",384,"2013, 2012, 2014, 2009","Demographic"
"92","Deaths, Youth Group (0-14)_Females","D_Y0_14_F",359,"2013, 2012, 2011, 2007, 2014, 2010, 2008","Demographic"
"93","Deaths, Youth Group (0-14)_Males","D_Y0_14_M",363,"2013, 2012, 2011, 2009, 2007, 2014, 2010","Demographic"
"94","Deaths, Youth Group (0-14)_Total","D_Y0_14_T",377,"2013, 2012, 2011, 2014, 2009, 2008","Demographic"
"95","Dependency Ratio, Demographic (% -15 plus 65+ over population 15-64)_Total","DEM_DEP_RA_T",388,"2014, 2015","Demographic"
"96","Dependency Ratio, Elderly (% 65+ over population 15-64)_Total","ELD_DEP_RA_T",388,"2014, 2015","Demographic"
"97","Dependency Ratio, Youth (% -15 over population 15-64)_Total","YOU_DEP_RA_T",388,"2014, 2015","Demographic"
"98","Growth/Shrinking Index of the 65+ Elderly Population (2001=100)_Total","POP_65M_GI_T",362,"2014, 2015","Demographic"
